机构名称,表中文名,字段中文（可忽略）
自然资源,采矿权人信息,采矿权人姓名
自然资源,采矿权人信息,采矿权人身份证号
自然资源,采矿权人信息,采矿权许可证号
自然资源,采矿权人信息,法定代表人
自然资源,采矿权人信息,开采矿种
自然资源,采矿权人信息,矿区面积
自然资源,采矿权人信息,矿山名称
自然资源,采矿权人信息,联系电话
自然资源,采矿权人信息,年开采规模
自然资源,采矿权人信息,统一社会信用代码
自然资源,采矿权人信息,有效到期日期
自然资源,采矿权人信息,有效起始日期
自然资源,采矿权人信息,住所
自然资源,采矿权人信息,组织机构代码
自然资源,采矿申请登记信息,变更类型
自然资源,采矿申请登记信息,采矿方法
自然资源,采矿申请登记信息,采矿回采率
自然资源,采矿申请登记信息,采矿权取得方式
自然资源,采矿申请登记信息,采矿权使用费
自然资源,采矿申请登记信息,采深上限
自然资源,采矿申请登记信息,采深下限
自然资源,采矿申请登记信息,地质报告审批情况
自然资源,采矿申请登记信息,法定代表人
自然资源,采矿申请登记信息,划定矿区范围
自然资源,采矿申请登记信息,经济类型
自然资源,采矿申请登记信息,价款处置方式
自然资源,采矿申请登记信息,开采方式
自然资源,采矿申请登记信息,开采主矿种
自然资源,采矿申请登记信息,矿区编码
自然资源,采矿申请登记信息,矿区面积
自然资源,采矿申请登记信息,矿权终止时间
自然资源,采矿申请登记信息,矿山名称
自然资源,采矿申请登记信息,矿石贫化率
自然资源,采矿申请登记信息,矿石品位
自然资源,采矿申请登记信息,签发时间
自然资源,采矿申请登记信息,其它主矿种
自然资源,采矿申请登记信息,设计规模
自然资源,采矿申请登记信息,设计利用储量
自然资源,采矿申请登记信息,设计年限
自然资源,采矿申请登记信息,申请人
自然资源,采矿申请登记信息,申请人身份证号
自然资源,采矿申请登记信息,所在行政区
自然资源,采矿申请登记信息,探矿权取得方式
自然资源,采矿申请登记信息,探明地质储量
自然资源,采矿申请登记信息,投资额
自然资源,采矿申请登记信息,投资额单位
自然资源,采矿申请登记信息,选矿方法
自然资源,采矿申请登记信息,选矿回收率
自然资源,采矿申请登记信息,许可证号
自然资源,采矿申请登记信息,项目档案号
自然资源,采矿申请登记信息,项目简介
自然资源,采矿申请登记信息,项目类型
自然资源,采矿申请登记信息,项目审批机关
自然资源,采矿申请登记信息,应缴纳采矿权价款
自然资源,采矿申请登记信息,有效期起
自然资源,采矿申请登记信息,有效期限
自然资源,采矿申请登记信息,有效期止
自然资源,采矿申请登记信息,总储量
自然资源,采矿申请登记信息,注册资金
自然资源,采矿申请登记信息,注册资金单位
自然资源,采矿申请登记信息,资金来源
自然资源,采矿注销登记信息,补偿费交纳情况
自然资源,采矿注销登记信息,保有储量
自然资源,采矿注销登记信息,登记唯一标识
自然资源,采矿注销登记信息,价款处置情况
自然资源,采矿注销登记信息,使用费交纳情况
自然资源,采矿注销登记信息,许可证号
自然资源,采矿注销登记信息,项目档案号
自然资源,采矿注销登记信息,采矿权人姓名
自然资源,采矿注销登记信息,采矿权人身份证号
自然资源,采矿注销登记信息,注销原因
自然资源,采矿注销登记信息,采矿注销标识
自然资源,采矿转让登记信息,采矿权价款缴纳方式词表
自然资源,采矿转让登记信息,采矿权使用费
自然资源,采矿转让登记信息,采矿权属有无争议
自然资源,采矿转让登记信息,采深上限
自然资源,采矿转让登记信息,采深下限
自然资源,采矿转让登记信息,登记唯一标识
