信息资源目录名称（必填项）,信息项名称,信息资源目录提供方
准予注销登记通知书,统一社会信用代码,行政审批局
准予注销登记通知书,主要负责人,文化和旅游局
准予注销登记通知书,编号,文化和旅游局
准予注销登记通知书,单位名称,文化和旅游局
准予注销登记通知书,法律依据,文化和旅游局
准予行政许可注销决定书,单位名称,行政审批局
准予行政许可注销决定书,法定代表人或负责人,行政审批局
准予行政许可注销决定书,经营地址,行政审批局
准予行政许可注销决定书,经营项目,行政审批局
准予行政许可注销决定书,有效期限,行政审批局
准予行政许可决定书,批文,市政和绿化管理局
准予行政备案决定书,姓名,工业和信息化局
准予行政备案决定书,事项内容,工业和信息化局
准予行政备案决定书,单位名称,工业和信息化局
准予行政备案决定书,文号,工业和信息化局
准予行政备案决定书,日期,工业和信息化局
准予社会团体注销登记决定书,统一社会信用代码,民政局
准予社会团体注销登记决定书,发证机关,民政局
准予社会团体注销登记决定书,发证日期,民政局
准予社会团体注销登记决定书,有效期限,民政局
准予社会团体注销登记决定书,名称,民政局
准予社会团体注销登记决定书,住所,民政局
准予社会团体注销登记决定书,法定代表人,民政局
准予社会团体注销登记决定书,开办资金,民政局
准予社会团体注销登记决定书,业务主管单位,民政局
准予民办非企业单位注销登记决定书,统一社会信用代码,民政局
准予民办非企业单位注销登记决定书,发证机关,民政局
准予民办非企业单位注销登记决定书,发证日期,民政局
准予民办非企业单位注销登记决定书,有效期限,民政局
准予民办非企业单位注销登记决定书,名称,民政局
准予民办非企业单位注销登记决定书,住所,民政局
准予民办非企业单位注销登记决定书,法定代表人,民政局
准予民办非企业单位注销登记决定书,开办资金,民政局
准予民办非企业单位注销登记决定书,业务主管单位,民政局
准予基金会注销登记决定书,统一社会信用代码,民政局
准予基金会注销登记决定书,发证机关,民政局
准予基金会注销登记决定书,发证日期,民政局
准予基金会注销登记决定书,有效日期,民政局
准予基金会注销登记决定书,名称,民政局
准予基金会注销登记决定书,住所,民政局
准予基金会注销登记决定书,法定代表人,民政局
准予基金会注销登记决定书,开办资金,民政局
