机构名称,表中文名,字段中文（可忽略）
民政,边缘救助对象基本信息,行政区划
民政,边缘救助对象基本信息,户口性质
民政,边缘救助对象基本信息,申请人
民政,边缘救助对象基本信息,申请身份证
民政,边缘救助对象基本信息,家庭总人口
民政,边缘救助对象基本信息,居住地址
民政,边缘救助对象基本信息,联系电话
民政,边缘救助对象基本信息,累计收入
民政,边缘救助对象基本信息,月人均收入
民政,边缘救助对象基本信息,年份
民政,边缘救助对象基本信息,月份
民政,边缘救助对象基本信息,户籍地址
民政,边缘救助对象基本信息,申请类别
民政,边缘救助对象基本信息,致贫原因
民政,边缘救助对象基本信息,低保类别
民政,边缘救助对象基本信息,申请救助原因
民政,边缘救助对象基本信息,开户银行
民政,边缘救助对象基本信息,开户人
民政,边缘救助对象基本信息,开户人身份证
民政,边缘救助对象基本信息,银行账号
民政,边缘救助对象基本信息,累计月份
民政,边缘救助对象基本信息,累计支出
民政,边缘救助对象基本信息,保障标准
民政,边缘救助对象基本信息,生活补助金
民政,边缘救助对象基本信息,重残人数
民政,边缘救助对象基本信息,保障总人口
民政,边缘救助对象基本信息,残疾补差金
民政,边缘救助对象基本信息,其他补助金
民政,边缘救助对象基本信息,总发放金额
民政,边缘救助对象基本信息,救助日期
民政,边缘救助对象基本信息,救助证编号
民政,边缘救助对象基本信息,调查时间
民政,边缘救助对象基本信息,调查结果
民政,边缘救助对象基本信息,省厅区划编码
民政,边缘救助对象基本信息,民政部区划编码
农业农村,拖拉机和联合收割机行驶证信息,发证时间
农业农村,拖拉机和联合收割机行驶证信息,注册登记时间
农业农村,拖拉机和联合收割机行驶证信息,牌照有效期限
农业农村,拖拉机和联合收割机行驶证信息,登记证书编号
农业农村,拖拉机和联合收割机行驶证信息,车辆型号
农业农村,拖拉机和联合收割机行驶证信息,拖拉机最小使用质量
农业农村,拖拉机和联合收割机行驶证信息,联合收割机质量
农业农村,拖拉机和联合收割机行驶证信息,拖拉机最大允许载质量
农业农村,拖拉机和联合收割机行驶证信息,准乘人数
农业农村,拖拉机和联合收割机行驶证信息,外廓尺寸-长
农业农村,拖拉机和联合收割机行驶证信息,外廓尺寸-宽
农业农村,拖拉机和联合收割机行驶证信息,外廓尺寸-高
农业农村,拖拉机和联合收割机行驶证信息,是否临牌
农业农村,拖拉机和联合收割机行驶证信息,身份证号
农业农村,拖拉机和联合收割机行驶证信息,车牌号码
农业农村,拖拉机和联合收割机行驶证信息,所属地区
农业农村,拖拉机和联合收割机行驶证信息,机身颜色
农业农村,拖拉机和联合收割机行驶证信息,车辆照片
农业农村,拖拉机和联合收割机行驶证信息,生产企业名称
农业农村,拖拉机和联合收割机行驶证信息,发证机关
农业农村,拖拉机和联合收割机行驶证信息,车辆类型
农业农村,拖拉机和联合收割机行驶证信息,状态
农业农村,拖拉机和联合收割机行驶证信息,所有人
农业农村,拖拉机和联合收割机行驶证信息,底盘机架号
农业农村,拖拉机和联合收割机行驶证信息,挂车架号码
农业农村,拖拉机和联合收割机行驶证信息,发动机号码
农业农村,拖拉机和联合收割机行驶证信息,车辆品牌
农业农村,拖拉机和联合收割机行驶证信息,状态
公安,户籍人口基本信息,兵役状况
公安,户籍人口基本信息,出生地国家（地区）
公安,户籍人口基本信息,出生地省市县（区）
公安,户籍人口基本信息,出生日期
公安,户籍人口基本信息,出生证明编号
公安,户籍人口基本信息,城乡属性
公安,户籍人口基本信息,曾用名
公安,户籍人口基本信息,服务处所
公安,户籍人口基本信息,公民身份号码
公安,户籍人口基本信息,婚姻状况
公安,户籍人口基本信息,籍贯国家（地区）
公安,户籍人口基本信息,籍贯省市县（区）
公安,户籍人口基本信息,籍贯详址
公安,户籍人口基本信息,街路巷代码
公安,户籍人口基本信息,所属街路巷名称
公安,户籍人口基本信息,居委会代码
公安,户籍人口基本信息,所属居民委会名称
公安,户籍人口基本信息,居住地地址编码
公安,户籍人口基本信息,居住地省市县（区）
公安,户籍人口基本信息,居住地详细地址
公安,户籍人口基本信息,联系电话
公安,户籍人口基本信息,门楼详址
公安,户籍人口基本信息,民族
公安,户籍人口基本信息,所属派出所名称
公安,户籍人口基本信息,所属省市县区
公安,户籍人口基本信息,所属乡镇（街道）
公安,户籍人口基本信息,死亡日期
公安,户籍人口基本信息,死亡原因
公安,户籍人口基本信息,死亡注销类别
公安,户籍人口基本信息,文化程度
公安,户籍人口基本信息,性别
公安,户籍人口基本信息,所属县级公安机关名称
公安,户籍人口基本信息,姓名
公安,户籍人口基本信息,乡镇街道代码
公安,户籍人口基本信息,宗教信仰
公安,户籍人口基本信息,注销标识
公安,户籍人口基本信息,注销日期
公安,户籍人口基本信息,职业
公安,户籍人口基本信息,住址
公安,户籍人口基本信息,相片URL
